,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
6,Ambon,ID,78.24,scattered clouds,-3.6954,128.1814,Hotel Hero
7,Rikitea,PF,77.56,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
8,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Fidji Motel
9,Cape Town,ZA,75.9,clear sky,-33.9258,18.4232,Townhouse Hotel
10,Isangel,VU,76.46,overcast clouds,-19.55,169.2667,Tanna Lodge
11,Mamallapuram,IN,77.05,clear sky,12.6264,80.1722,Radisson Temple Bay
26,Hermanus,ZA,78.8,few clouds,-34.4187,19.2345,Aloe guest house
28,Salalah,OM,77.09,clear sky,17.0151,54.0924,Muscat International Hotel
29,Kalmunai,LK,76.03,overcast clouds,7.4167,81.8167,Saji new food
43,Atar,MR,83.12,overcast clouds,20.5169,-13.0499,فندق سكليل
45,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
60,Meulaboh,ID,75.13,overcast clouds,4.1363,96.1285,Hotel Meuligou
62,Atuona,PF,78.33,light rain,-9.8,-139.0333,Pearl Resort
63,Broken Hill,AU,78.48,broken clouds,-31.95,141.4333,Ibis Styles
66,Mar Del Plata,AR,78.82,broken clouds,-38.0023,-57.5575,Nuevo Ostende
76,Baracoa,CU,78.06,clear sky,20.3467,-74.4958,Casa
77,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti International Resort
83,Axim,GH,84.29,scattered clouds,4.8699,-2.2405,Axim Beach Hotel
86,Hithadhoo,MV,80.83,scattered clouds,-0.6,73.0833,Pebbles Inn
89,Sao Filipe,CV,77.95,overcast clouds,14.8961,-24.4956,Bela Vista
93,Banjar,ID,77.29,overcast clouds,-8.19,114.9675,Villa Banjar Beach
95,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,Le Baril
100,Sambava,MG,77.49,overcast clouds,-14.2667,50.1667,Royal Sava Hôtel
118,Maragogi,BR,83.17,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
131,Kroya,ID,77.47,overcast clouds,-7.6331,109.2461,Setia Hotel
132,Kimbe,PG,76.46,light rain,-5.5502,150.1429,Kimbe Bay Hotel
133,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,losmen Surya
134,Sinnamary,GF,79.02,broken clouds,5.3833,-52.95,Hôtel du fleuve
135,Hambantota,LK,76.57,overcast clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
136,Saldanha,ZA,77.05,overcast clouds,-33.0117,17.9442,Hoedjesbaai
137,Touros,BR,84.96,scattered clouds,-5.1989,-35.4608,Pousada Atlântico
143,Tomatlan,MX,78.37,few clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
146,Ziniare,BF,87.84,few clouds,12.5822,-1.2983,Residence Les Saints Innocents
156,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Cape Garden
159,Hualmay,PE,75.15,broken clouds,-11.0964,-77.6139,Hotel Mi Choacan
162,Garissa,KE,87.87,overcast clouds,-0.4536,39.6401,Hiddig Hotel
163,Pisco,PE,77.05,clear sky,-13.7,-76.2167,La Portada
164,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Hotel Prainha
165,Ambilobe,MG,75.4,overcast clouds,-13.2,49.05,Hôtel National
167,Iquique,CL,75.24,scattered clouds,-20.2208,-70.1431,Hostal Vivar
172,Luganville,VU,77.22,moderate rain,-15.5333,167.1667,Beachfront Resort
174,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Cititel Express
176,Port Elizabeth,ZA,78.31,overcast clouds,-33.918,25.5701,Waterford Hotel
179,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Grand Bel Air
181,Sassandra,CI,84.2,overcast clouds,4.95,-6.0833,Hotel Le Pollet
198,Ler,SS,82.35,scattered clouds,8.3018,30.1418,Green Hotel
202,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
209,Inhambane,MZ,84.18,scattered clouds,-23.865,35.3833,Hotel de Inhambane
211,Saint-Leu,RE,79.66,broken clouds,-21.15,55.2833,Iloha Seaview Hôtel
213,Rio Grande,BR,89.71,scattered clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
214,Cidreira,BR,76.77,overcast clouds,-30.1811,-50.2056,Hotel Castelo
215,Castro,BR,76.89,broken clouds,-24.7911,-50.0119,Hotel Central Palace
238,Bibiani,GH,85.84,few clouds,6.4635,-2.3194,Addai's Hotel
243,Bengkulu,ID,75.2,overcast clouds,-3.8004,102.2655,Dena Hotel
244,Santo Tomas,PH,77.25,overcast clouds,14.1079,121.1414,NDN Grand Hotel
247,Lorengau,PG,80.65,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
249,Sabang,ID,79.74,overcast clouds,5.8933,95.3214,Sabang Hill
251,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
255,Caravelas,BR,83.8,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
257,Kununurra,AU,80.58,heavy intensity rain,-15.7667,128.7333,Kununurra Country Club Resort
264,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Terra Sur
268,Tual,ID,82.67,overcast clouds,-5.6667,132.75,Suita
272,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,Hotel Candra Adiguna
275,Pontes E Lacerda,BR,85.21,overcast clouds,-15.2261,-59.3353,Hotel Avenida
286,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
292,Faanui,PF,79.54,moderate rain,-16.4833,-151.75,Oa Oa Lodge
294,Morondava,MG,83.68,clear sky,-20.2833,44.2833,Hotel Sharon Menabe
297,Santiago De Cuba,CU,78.91,clear sky,20.0247,-75.8219,Rex
314,Iguape,BR,81.48,broken clouds,-24.7081,-47.5553,Pousada dos Lampiões
318,Yulara,AU,82.06,broken clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
325,The Valley,AI,80.74,scattered clouds,18.217,-63.0578,CeBlue
326,Cayenne,GF,82.44,moderate rain,4.9333,-52.3333,Central Hôtel
327,Sao Felix Do Xingu,BR,84.58,light rain,-6.6447,-51.995,Hotel Terraço
329,Tabou,CI,82.53,overcast clouds,4.423,-7.3528,hôtel le rochet
332,Monrovia,LR,87.57,scattered clouds,6.3005,-10.7969,Bella Casa Hotel
333,Sao Geraldo Do Araguaia,BR,83.08,broken clouds,-6.4006,-48.555,Tomazi Hotel
342,Chimbote,PE,75.63,broken clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
347,Boa Esperanca,BR,81.79,few clouds,-21.09,-45.5658,Hotel do Lago
348,Chuy,UY,80.35,clear sky,-33.6971,-53.4616,Alerces
350,Cobija,BO,82.58,broken clouds,-11.0267,-68.7692,Hotel El Cristo
362,Kavieng,PG,80.4,light rain,-2.5744,150.7967,Kavieng Hotel
363,Metro,ID,75.11,light rain,-5.1131,105.3067,Hotel Nuban
364,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Coco Villa
371,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
374,Kathu,TH,83.7,overcast clouds,7.9178,98.3332,Tinidee Hotel
380,Dapaong,TG,83.75,few clouds,10.8639,0.205,La Residenze
387,Lamu,KE,80.82,broken clouds,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
395,Cruzilia,BR,79.47,scattered clouds,-21.8386,-44.8083,Hotel Real
402,Mabaruma,GY,84.58,broken clouds,8.2,-59.7833,Monty Brooms Hotel
414,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Residencial Jardins De Maio
422,Vanimo,PG,77.29,overcast clouds,-2.6741,141.3028,CBC Guesthouse
432,Lethem,GY,88.02,overcast clouds,3.3803,-59.7968,Hotel Amazonas
441,Yenagoa,NG,83.84,overcast clouds,4.9247,6.2642,Peretimi Hotels Ltd.
444,Kapoeta,SS,87.24,broken clouds,4.7717,33.5903,Kuleu
446,Odienne,CI,89.67,few clouds,9.51,-7.5692,Hotel Frontière
447,Yambio,SS,82.96,scattered clouds,4.5721,28.3955,Kabash Inn
448,Savannah Bight,HN,76.64,scattered clouds,16.45,-85.85,La Giralda
456,Areia Branca,BR,82.6,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
462,Mahibadhoo,MV,79.93,overcast clouds,3.7833,72.9667,Coral View Inn
469,Necochea,AR,81.07,overcast clouds,-38.5473,-58.7368,Cabañas Río Quequén
484,Ternate,ID,79.92,overcast clouds,0.8,127.4,Boulivard ternate
489,Alta Floresta,BR,82.71,light rain,-9.8756,-56.0861,Villas Hotel
497,Santa Vitoria Do Palmar,BR,80.62,clear sky,-33.5189,-53.3681,Hotel Brasil
509,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
520,Kismayo,SO,76.82,overcast clouds,-0.3582,42.5454,Kismayo Hotel
521,Sabancuy,MX,82.9,clear sky,18.9667,-91.1833,Hotel plaza sabancuy
522,Acapulco,MX,82.56,overcast clouds,16.8634,-99.8901,Hotel del Valle
527,Itarema,BR,85.15,scattered clouds,-2.9248,-39.9167,Pousada Oásis
528,Bani,DO,81.86,clear sky,18.2833,-70.3333,HOTEL GLAMOURS
531,Honiara,SB,77.36,moderate rain,-9.4333,159.95,King Solomon Hotel
533,Karratha,AU,82.4,scattered clouds,-20.7377,116.8463,Karratha International Hotel
534,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Hotel California
543,Mbandaka,CD,80.78,broken clouds,0.0487,18.2603,Hôtel Epervier
544,Praya,CV,77.54,clear sky,14.9215,-23.5087,Casa Sodadi
546,Bahia Blanca,AR,86.67,overcast clouds,-38.7196,-62.2724,Hotel Austral Bahía
551,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
556,Nabire,ID,75.18,moderate rain,-3.3667,135.4833,Hotel Anggrek
557,Chambas,CU,81.05,clear sky,22.1928,-78.9136,Hotel Colón
571,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Deyna's City Inn
579,Richards Bay,ZA,77.81,scattered clouds,-28.783,32.0377,Protea Hotel
582,Bairiki,KI,78.8,scattered clouds,1.3292,172.9752,Marry's Motel
585,Banting,MY,79.56,overcast clouds,2.8167,101.5,OYO Senses budget hotel
592,Mogadishu,SO,77.36,few clouds,2.0371,45.3438,SYL Hotel
593,Papetoai,PF,80.19,scattered clouds,-17.4961,-149.8729,Ancien Intercontinental (fermé)
595,Ascension,US,77.0,overcast clouds,30.2169,-90.9001,Cajun Country Inn
598,Bathsheba,BB,79.47,light rain,13.2167,-59.5167,Atlantis Hotel
602,Mahina,PF,80.37,light rain,-17.5065,-149.489,Motu Martin
604,Tonantins,BR,75.38,overcast clouds,-2.8731,-67.8022,Red Davi
606,Brownwood,US,75.2,clear sky,31.7093,-98.9912,Hampton Inn Brownwood
617,Namatanai,PG,78.58,overcast clouds,-3.6667,152.4333,Namatanai Hotel
619,Paraiso,CR,82.89,scattered clouds,9.8383,-83.8656,Cabinas
624,Bubaque,GW,77.5,few clouds,11.2833,-15.8333,Chez Julio
653,Gizo,SB,80.89,moderate rain,-8.103,156.8419,Gizo Hotel
665,Koumac,NC,75.78,light rain,-20.5667,164.2833,Monitel Koumac
675,Tres Arroyos,AR,86.11,moderate rain,-38.3739,-60.2798,Andrea Hotel
676,Mayumba,GA,79.03,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
680,Rocha,UY,88.03,clear sky,-34.4833,-54.3333,Hotel Municipal
688,Suba,PH,79.86,overcast clouds,10.8438,121.0102,Jade Felimar Value Inn
690,Nouakchott,MR,87.73,overcast clouds,18.0858,-15.9785,فندق أدرار
